OBJECTID,Codigo_Municipio,Nome_municipio,Pop_Total,Total_Respiradores,Respiradores_100mil_hab_Ind,Respiradores_SUS_100mil_hab_Ind,Total_SUS_Respiradores,Shape__Area,Shape__Length,P_Respiradores_SUS
22,2400109,Acari,11136,1,8.97988505747126,8.97988505747126,1,0.04973495418011,1.08468906871531,100
23,2200053,Acauã,7084,0,0,0,0,0.10502748602056,1.75435719183372,0
24,4300034,Aceguá,4901,1,20.40399918384,20.40399918384,1,0.147248979063761,2.30952158560429,100
25,2300309,Acopiara,54270,1,1.84263865855906,1.84263865855906,1,0.185066488837876,2.96731549571066,100
26,5100102,Acorizal,5399,0,0,0,0,0.0717142052370718,1.85530431655262,0
27,1200013,Acrelândia,15256,0,0,0,0,0.149057078228623,2.29210837166332,0
28,5200134,Acreúna,22366,4,17.8842886524188,13.4132164893141,3,0.133201917582028,2.28785043025261,75
29,2400208,Açu,58017,1,1.72363272833825,1.72363272833825,1,0.106375163593427,1.6154283602144,100
30,3100500,Açucena,9470,0,0,0,0,0.069985001515704,1.78534098870111,0
31,3500105,Adamantina,35068,9,25.6644234059541,25.6644234059541,9,0.035927172507968,1.20271955874888,100
32,5200159,Adelândia,2516,0,0,0,0,0.00975693321390736,0.607893387523015,0
33,3500204,Adolfo,3562,0,0,0,0,0.0183695506761978,0.833896249411956,0
34,4100202,Adrianópolis,5919,0,0,0,0,0.120455161807399,2.52867513412477,0
35,2900355,Adustina,17040,0,0,0,0,0.0522171444295054,1.13258828769439,0
36,2600104,Afogados da Ingazeira,37259,5,13.4195764781663,10.7356611825331,4,0.0309585745224297,0.974395580490603,80
37,2400307,Afonso Bezerra,11035,0,0,0,0,0.0470178259547396,1.2044248558981,0
38,3200102,Afonso Cláudio,30586,1,3.26946969201596,3.26946969201596,1,0.0812880877216458,1.8577875523148,100
39,2100105,Afonso Cunha,6524,1,15.3280196198651,15.3280196198651,1,0.030245753907181,0.834965751110195,100
40,2600203,Afrânio,19635,2,10.1858925388337,10.1858925388337,2,0.122443222459424,2.13078854263315,100
